,product_id,address,price,area,bedrooms_num,bathrooms_num
26537,41216416,"Bình Chánh, Hồ Chí Minh",318480000000.0,31848.0,0,0
26539,40559243,"Quận 10, Hồ Chí Minh",8800000000.0,44.0,4,5
26540,42113275,"Nam Từ Liêm, Hà Nội",3700000000.0,60.0,2,2
26541,37008459,"Quận 2, Hồ Chí Minh",4900000000.0,68.0,2,0
26542,41579385,"Nam Từ Liêm, Hà Nội",8199999999.999999,36.0,9,10
26543,41007524,"Thanh Xuân, Hà Nội",35000000000.0,96.0,0,0
26544,41740703,"Đức Hòa, Long An",1050000000.0,76.0,0,0
26545,41486649,"Sơn La, Sơn La",5400000000.0,214.0,0,0
26546,42043004,"Bình Thạnh, Hồ Chí Minh",70000000000.0,200.0,12,25
26547,39786830,"Từ Sơn, Bắc Ninh",5200000000.0,75.0,6,5
26548,42113139,"Hoàng Mai, Hà Nội",39000000000.0,123.0,5,5
26549,42112522,"Tây Hồ, Hà Nội",40000000000.0,101.0,8,8
26550,42113136,"Ngũ Hành Sơn, Đà Nẵng",7890000000.0,102.0,0,0
26551,42113171,"Bắc Từ Liêm, Hà Nội",5200000000.0,45.0,3,2
26552,40961181,"Vị Thanh, Hậu Giang",3000000000.0,275.0,0,0
26553,38167711,"Thuận An, Bình Dương",6200000000.0,129.5,4,3
26554,39890224,"Đức Hòa, Long An",1350000000.0,100.0,0,0
26555,41800343,"Đồng Hới, Quảng Bình",4000000000.0,90.0,3,2
26556,41720966,"Nam Từ Liêm, Hà Nội",5500000000.0,35.0,3,4
26557,41732648,"Quận 1, Hồ Chí Minh",245000000000.0,400.0,0,0
26558,41979696,"Quận 2, Hồ Chí Minh",1850000000.0,60.0,2,1
26560,42113237,"Từ Sơn, Bắc Ninh",10400000000.0,180.0,4,5
26561,41862092,"Điện Bàn, Quảng Nam",14900000000.0,360.0,4,5
26563,41482887,"Hà Đông, Hà Nội",6000000000.0,35.0,5,0
26564,40769498,"Long Đất, Bà Rịa Vũng Tàu",1280000000.0,105.0,0,0
26565,41597607,"Tân Bình, Hồ Chí Minh",6200000000.0,88.0,7,7
26566,42113128,"Bình Chánh, Hồ Chí Minh",5200000000.0,82.9,0,0
26567,42113127,"Ngũ Hành Sơn, Đà Nẵng",1800000000.0,112.0,0,0
26568,40748276,"Thủ Đức, Hồ Chí Minh",4200000000.0,85.0,0,0
26569,42113126,"Thanh Xuân, Hà Nội",40000000000.0,154.0,0,0
26570,41597607,"Tân Bình, Hồ Chí Minh",6200000000.0,88.0,7,7
